trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
149,False,"{'a': 0.22763768838381274, 'e': 0.22763768838381274}",25,3,20.826565473336075,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.22537265553943872, 'e': 0.22537265553943872}",25,10,15.527487187086097,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.22313016014842982, 'e': 0.22313016014842982}",30,22,12.672137146733352,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.2209099779593782, 'e': 0.2209099779593782}",25,11,-27.47709169721876,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
153,False,"{'a': 0.21871188695221475, 'e': 0.21871188695221475}",25,0,-0.18087654114834062,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
154,False,"{'a': 0.21653566731600707, 'e': 0.21653566731600707}",25,8,14.381445364644915,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.21438110142697794, 'e': 0.21438110142697794}",25,0,-33.66913910756484,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
156,False,"{'a': 0.21224797382674304, 'e': 0.21224797382674304}",20,0,-1.5928364819737948,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.21013607120076472, 'e': 0.21013607120076472}",25,19,10.340736890929943,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.20804518235702046, 'e': 0.20804518235702046}",20,9,19.511070441982493,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.20597509820488344, 'e': 0.20597509820488344}",20,6,-17.40517562472941,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.20392561173421342, 'e': 0.20392561173421342}",20,13,-29.33274331574864,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.20189651799465538, 'e': 0.20189651799465538}",20,0,-69.98213313929254,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
162,False,"{'a': 0.1998876140751445, 'e': 0.1998876140751445}",25,0,-6.542210873322729,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
163,False,"{'a': 0.19789869908361465, 'e': 0.19789869908361465}",20,9,3.7221834617163534,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.19592957412690934, 'e': 0.19592957412690934}",20,10,4.342914083784226,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.19398004229089189, 'e': 0.19398004229089189}",20,13,12.556347590674683,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
